word,Pos_x,wordCount_x,percent_of_total,Pos_y,wordavg,wordCount_y
display,NOUN,1,0.021739130434782608,NOUN,0.08279280216351155,5
duration,NOUN,1,0.021739130434782608,NOUN,0.021739130434782608,1
ergonomic,ADJ,1,0.021739130434782608,ADJ,0.021739130434782608,1
forearm,ADJ,1,0.021739130434782608,ADJ,0.021739130434782608,1
gentle,ADJ,1,0.021739130434782608,ADJ,0.021739130434782608,1
hand,NOUN,1,0.021739130434782608,NOUN,0.18502415458937196,3
help,NOUN,1,0.021739130434782608,NOUN,0.021739130434782608,1
intensity,NOUN,1,0.021739130434782608,NOUN,0.024565315183164155,3
interface,NOUN,1,0.021739130434782608,NOUN,0.10703286749482402,8
long,ADJ,1,0.021739130434782608,ADJ,0.0733695652173913,2
massage,NOUN,4,0.08695652173913043,NOUN,0.16972624798711755,7
mode,NOUN,1,0.021739130434782608,NOUN,0.17753623188405795,2
muscle,NOUN,1,0.021739130434782608,NOUN,0.021739130434782608,1
rest,NOUN,2,0.043478260869565216,NOUN,0.043478260869565216,2
several,ADJ,1,0.021739130434782608,ADJ,0.02402745995423341,2
shape,NOUN,1,0.021739130434782608,NOUN,0.021739130434782608,1
slider,NOUN,1,0.021739130434782608,NOUN,0.021739130434782608,1
soft,ADJ,1,0.021739130434782608,ADJ,0.02872670807453416,2
strain,NOUN,2,0.043478260869565216,NOUN,0.12173913043478261,3
such,ADJ,1,0.021739130434782608,ADJ,0.06642512077294685,2
tangible,ADJ,1,0.021739130434782608,ADJ,0.13993271221532091,6
tissue,NOUN,1,0.021739130434782608,NOUN,0.021739130434782608,1
user,NOUN,1,0.021739130434782608,NOUN,0.13707900244400323,28
variety,NOUN,1,0.021739130434782608,NOUN,0.021739130434782608,1
wrist,NOUN,6,0.13043478260869565,NOUN,0.23188405797101447,7
cm,NOUN,2,0.05,NOUN,0.05131578947368421,4
computer,NOUN,1,0.025,NOUN,0.10196256038647343,4
current,ADJ,1,0.025,ADJ,0.025657894736842105,2
day,NOUN,1,0.025,NOUN,0.1275477340694732,10
daytoday,NOUN,1,0.025,NOUN,0.025,1
device,NOUN,3,0.075,NOUN,0.18681245337423827,23
digital,ADJ,1,0.025,ADJ,0.035187553282182434,3
display,NOUN,1,0.025,NOUN,0.08279280216351155,5
durable,ADJ,1,0.025,ADJ,0.025,1
finish,NOUN,1,0.025,NOUN,0.025,1
glossy,ADJ,1,0.025,ADJ,0.025,1
length,NOUN,1,0.025,NOUN,0.025,1
list,NOUN,1,0.025,NOUN,0.11666666666666668,3
material,NOUN,1,0.025,NOUN,0.05151942355889724,4
one,NOUN,1,0.025,NOUN,0.1375,2
plastic,NOUN,1,0.025,NOUN,0.03671310629514964,3
progress,NOUN,1,0.025,NOUN,0.125,3
rectangular,ADJ,1,0.025,ADJ,0.025,1
reminder,NOUN,1,0.025,NOUN,0.10347222222222222,4
