Pos_x,wordCount_x,doc,percent_of_total,Pos_y,wordavg,wordCount_y
NOUN,1,84,0.025,NOUN,0.05151942355889724,4
NOUN,1,84,0.025,NOUN,0.1375,2
NOUN,1,84,0.025,NOUN,0.03671310629514964,3
NOUN,1,84,0.025,NOUN,0.125,3
ADJ,1,84,0.025,ADJ,0.025,1
NOUN,1,84,0.025,NOUN,0.10347222222222222,4
NOUN,3,84,0.075,NOUN,0.21944444444444444,5
NOUN,1,84,0.025,NOUN,0.053571428571428575,3
ADJ,1,84,0.025,ADJ,0.025,1
NOUN,2,84,0.05,NOUN,0.10386996904024769,7
ADJ,1,84,0.025,ADJ,0.13993271221532091,6
NOUN,4,84,0.1,NOUN,0.17797619047619048,9
ADJ,1,84,0.025,ADJ,0.075,2
NOUN,1,84,0.025,NOUN,0.025,1
NOUN,1,84,0.025,NOUN,0.17916666666666667,6
NOUN,2,84,0.05,NOUN,0.13707900244400323,28
NOUN,1,84,0.025,NOUN,0.025,1
ADJ,1,85,0.03571428571428571,ADJ,0.03571428571428571,1
ADJ,1,85,0.03571428571428571,ADJ,0.03571428571428571,1
NOUN,1,85,0.03571428571428571,NOUN,0.03571428571428571,1
NOUN,1,85,0.03571428571428571,NOUN,0.03571428571428571,1
NOUN,1,85,0.03571428571428571,NOUN,0.03571428571428571,1
NOUN,1,85,0.03571428571428571,NOUN,0.06331168831168832,2
NOUN,5,85,0.17857142857142858,NOUN,0.26785714285714285,7
NOUN,5,85,0.17857142857142858,NOUN,0.25595238095238093,6
NOUN,1,85,0.03571428571428571,NOUN,0.1788961038961039,5
ADJ,2,85,0.07142857142857142,ADJ,0.14603174603174604,4
NOUN,1,85,0.03571428571428571,NOUN,0.053571428571428575,3
ADJ,1,85,0.03571428571428571,ADJ,0.02872670807453416,2
ADJ,1,85,0.03571428571428571,ADJ,0.03571428571428571,1
NOUN,1,85,0.03571428571428571,NOUN,0.18273809523809523,8
NOUN,4,85,0.14285714285714285,NOUN,0.13707900244400323,28
ADJ,1,85,0.03571428571428571,ADJ,0.03571428571428571,1
NOUN,1,99,0.25,NOUN,0.10196256038647343,4
ADJ,1,99,0.25,ADJ,0.18471177944862155,7
NOUN,2,99,0.5,NOUN,0.23628117913832197,8
ADJ,1,100,0.2,ADJ,0.2,1
NOUN,1,100,0.2,NOUN,0.23555555555555557,5
ADJ,1,100,0.2,ADJ,0.18471177944862155,7
NOUN,1,100,0.2,NOUN,0.2,1
ADJ,1,100,0.2,ADJ,0.2,1
ADJ,1,101,0.2,ADJ,0.18471177944862155,7
ADJ,1,101,0.2,ADJ,0.2,1
NOUN,1,101,0.2,NOUN,0.1638888888888889,3
